ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0007155	cell adhesion	2	2	PBANKA_1300700,PBANKA_1319500,	100.0	90.45	inf	0.000118326451738	0.00911113678385	0.00911113678385
GO:0022610	biological adhesion	4	2	PBANKA_1300700,PBANKA_1319500,	50.0	45.23	95.55	0.00070019824307	0.0269576323582	0.0539152647164
GO:0015914	phospholipid transport	3	1	PBANKA_0208900,	33.3	30.15	46.18	0.0328131497161	0.631653132035	1.0
GO:0015748	organophosphate ester transport	3	1	PBANKA_0208900,	33.3	30.15	46.18	0.0328131497161	0.631653132035	1.0
