ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:1901575	organic substance catabolic process	114	25	PBANKA_0107100,PBANKA_0205400,PBANKA_0213200,PBANKA_0418200,PBANKA_0520000,PBANKA_0917900,PBANKA_0930900,PBANKA_1004000,PBANKA_1122900,PBANKA_1206600,PBANKA_1206900,PBANKA_1209800,PBANKA_1223300,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1242000,PBANKA_1301400,PBANKA_1318100,PBANKA_1318400,PBANKA_1334100,PBANKA_1357000,PBANKA_1404900,PBANKA_1431900,PBANKA_1445100,	21.9	1.9	2.25	0.000905224259397	0.0544306989604	0.668960727695
GO:0019637	organophosphate metabolic process	108	24	PBANKA_0313800,PBANKA_0418200,PBANKA_0513600,PBANKA_0520600,PBANKA_0821700,PBANKA_0913900,PBANKA_1003800,PBANKA_1036600,PBANKA_1109400,PBANKA_1120200,PBANKA_1127000,PBANKA_1142400,PBANKA_1206900,PBANKA_1214200,PBANKA_1223300,PBANKA_1303300,PBANKA_1307600,PBANKA_1318400,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1415100,PBANKA_1421800,PBANKA_1431900,	22.2	1.92	2.28	0.000938625574934	0.0544306989604	0.693644299876
GO:0006753	nucleoside phosphate metabolic process	72	18	PBANKA_0313800,PBANKA_0418200,PBANKA_0513600,PBANKA_0520600,PBANKA_0821700,PBANKA_1003800,PBANKA_1036600,PBANKA_1142400,PBANKA_1206900,PBANKA_1214200,PBANKA_1223300,PBANKA_1303300,PBANKA_1307600,PBANKA_1318400,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1421800,	25.0	2.16	2.64	0.000977139832072	0.0544306989604	0.722106335901
GO:0006725	cellular aromatic compound metabolic process	478	76	PBANKA_0105900,PBANKA_0110200,PBANKA_0204400,PBANKA_0214200,PBANKA_0313800,PBANKA_0315200,PBANKA_0409100,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520500,PBANKA_0520600,PBANKA_0614100,PBANKA_0712800,PBANKA_0803100,PBANKA_0821700,PBANKA_0913800,PBANKA_0921500,PBANKA_1003800,PBANKA_1009800,PBANKA_1025200,PBANKA_1027500,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1134000,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206900,PBANKA_1207200,PBANKA_1214200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1237500,PBANKA_1239700,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1316400,PBANKA_1318400,PBANKA_1325600,PBANKA_1332000,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415600,PBANKA_1421100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1439400,PBANKA_1443200,PBANKA_1445500,PBANKA_1450200,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,	15.9	1.38	1.58	0.00103116344445	0.0544306989604	0.762029785445
GO:0071704	organic substance metabolic process	1093	152	PBANKA_0105900,PBANKA_0107100,PBANKA_0110200,PBANKA_0111700,PBANKA_0204200,PBANKA_0204400,PBANKA_0205400,PBANKA_0213200,PBANKA_0214200,PBANKA_0214800,PBANKA_0313800,PBANKA_0315200,PBANKA_0405300,PBANKA_0409100,PBANKA_0416900,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520000,PBANKA_0520500,PBANKA_0520600,PBANKA_0601300,PBANKA_0613400,PBANKA_0614100,PBANKA_0616000,PBANKA_0616100,PBANKA_0702900,PBANKA_0712800,PBANKA_0803100,PBANKA_0816100,PBANKA_0821700,PBANKA_0904900,PBANKA_0906400,PBANKA_0913800,PBANKA_0913900,PBANKA_0917900,PBANKA_0919800,PBANKA_0921500,PBANKA_0928500,PBANKA_0930900,PBANKA_0931700,PBANKA_0932200,PBANKA_0938600,PBANKA_0940100,PBANKA_1003800,PBANKA_1004000,PBANKA_1004400,PBANKA_1009800,PBANKA_1012200,PBANKA_1014000,PBANKA_1025200,PBANKA_1025800,PBANKA_1027500,PBANKA_1031900,PBANKA_1034400,PBANKA_1035300,PBANKA_1035600,PBANKA_1036600,PBANKA_1106800,PBANKA_1108400,PBANKA_1109400,PBANKA_1111600,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1122900,PBANKA_1126200,PBANKA_1127000,PBANKA_1133300,PBANKA_1134000,PBANKA_1140900,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206600,PBANKA_1206900,PBANKA_1207200,PBANKA_1207300,PBANKA_1209800,PBANKA_1214200,PBANKA_1218200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1233900,PBANKA_1234800,PBANKA_1237200,PBANKA_1237500,PBANKA_1237900,PBANKA_1239700,PBANKA_1242000,PBANKA_1301400,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1307800,PBANKA_1309900,PBANKA_1315400,PBANKA_1316400,PBANKA_1318100,PBANKA_1318400,PBANKA_1320700,PBANKA_1320900,PBANKA_1325600,PBANKA_1332000,PBANKA_1334100,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1357000,PBANKA_1357500,PBANKA_1358600,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1404900,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1419700,PBANKA_1420200,PBANKA_1421100,PBANKA_1421800,PBANKA_1423900,PBANKA_1429600,PBANKA_1431900,PBANKA_1434200,PBANKA_1437400,PBANKA_1439400,PBANKA_1443200,PBANKA_1444100,PBANKA_1445100,PBANKA_1445500,PBANKA_1450200,PBANKA_1453600,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,PBANKA_1460400,	13.9	1.2	1.45	0.00122214616995	0.0602110679729	0.903166019593
GO:0009056	catabolic process	117	25	PBANKA_0107100,PBANKA_0205400,PBANKA_0213200,PBANKA_0418200,PBANKA_0520000,PBANKA_0917900,PBANKA_0930900,PBANKA_1004000,PBANKA_1122900,PBANKA_1206600,PBANKA_1206900,PBANKA_1209800,PBANKA_1223300,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1242000,PBANKA_1301400,PBANKA_1318100,PBANKA_1318400,PBANKA_1334100,PBANKA_1357000,PBANKA_1404900,PBANKA_1431900,PBANKA_1445100,	21.4	1.85	2.17	0.00134835913713	0.0622773376464	0.996437402343
GO:0030163	protein catabolic process	52	14	PBANKA_0107100,PBANKA_0205400,PBANKA_0917900,PBANKA_0930900,PBANKA_1206600,PBANKA_1209800,PBANKA_1231500,PBANKA_1233100,PBANKA_1242000,PBANKA_1301400,PBANKA_1318100,PBANKA_1334100,PBANKA_1404900,PBANKA_1445100,	26.9	2.33	2.9	0.00166010607895	0.072165787785	1.0
GO:0090407	organophosphate biosynthetic process	58	15	PBANKA_0313800,PBANKA_0513600,PBANKA_0520600,PBANKA_0821700,PBANKA_1036600,PBANKA_1120200,PBANKA_1127000,PBANKA_1142400,PBANKA_1214200,PBANKA_1307600,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1415100,PBANKA_1421800,	25.9	2.24	2.75	0.00178003305037	0.0730802457903	1.0
GO:0009117	nucleotide metabolic process	70	17	PBANKA_0313800,PBANKA_0418200,PBANKA_0520600,PBANKA_0821700,PBANKA_1003800,PBANKA_1036600,PBANKA_1142400,PBANKA_1206900,PBANKA_1214200,PBANKA_1223300,PBANKA_1303300,PBANKA_1307600,PBANKA_1318400,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1421800,	24.3	2.1	2.54	0.00189905205364	0.0738631298756	1.0
GO:0009165	nucleotide biosynthetic process	37	11	PBANKA_0313800,PBANKA_0520600,PBANKA_0821700,PBANKA_1036600,PBANKA_1142400,PBANKA_1214200,PBANKA_1307600,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1421800,	29.7	2.57	3.32	0.00219776658116	0.081207475174	1.0
