ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044237	cellular metabolic process	1033	152	PBANKA_0105900,PBANKA_0107100,PBANKA_0110200,PBANKA_0111700,PBANKA_0204200,PBANKA_0204400,PBANKA_0205400,PBANKA_0213200,PBANKA_0214200,PBANKA_0214800,PBANKA_0313800,PBANKA_0315200,PBANKA_0405300,PBANKA_0409100,PBANKA_0416900,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0517200,PBANKA_0518200,PBANKA_0518700,PBANKA_0518800,PBANKA_0520000,PBANKA_0520500,PBANKA_0520600,PBANKA_0601300,PBANKA_0613400,PBANKA_0614100,PBANKA_0616000,PBANKA_0616100,PBANKA_0702900,PBANKA_0712800,PBANKA_0803100,PBANKA_0816100,PBANKA_0821700,PBANKA_0901700,PBANKA_0904900,PBANKA_0906400,PBANKA_0913800,PBANKA_0913900,PBANKA_0917900,PBANKA_0919800,PBANKA_0921500,PBANKA_0930900,PBANKA_0931700,PBANKA_0932200,PBANKA_0938600,PBANKA_0940100,PBANKA_1003800,PBANKA_1004000,PBANKA_1004400,PBANKA_1009800,PBANKA_1012200,PBANKA_1014000,PBANKA_1025200,PBANKA_1025800,PBANKA_1027500,PBANKA_1031900,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1109400,PBANKA_1111600,PBANKA_1114600,PBANKA_1116300,PBANKA_1120200,PBANKA_1121700,PBANKA_1122900,PBANKA_1126200,PBANKA_1127000,PBANKA_1133300,PBANKA_1134000,PBANKA_1140900,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206600,PBANKA_1206900,PBANKA_1207200,PBANKA_1207300,PBANKA_1209800,PBANKA_1212300,PBANKA_1214200,PBANKA_1218200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1233900,PBANKA_1234800,PBANKA_1237200,PBANKA_1237500,PBANKA_1237900,PBANKA_1239700,PBANKA_1242000,PBANKA_1301400,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1307800,PBANKA_1315400,PBANKA_1316400,PBANKA_1318100,PBANKA_1318400,PBANKA_1320700,PBANKA_1325600,PBANKA_1332000,PBANKA_1334100,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1355200,PBANKA_1357000,PBANKA_1357500,PBANKA_1358600,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1404900,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1419700,PBANKA_1420200,PBANKA_1421100,PBANKA_1421800,PBANKA_1423900,PBANKA_1429600,PBANKA_1431900,PBANKA_1434200,PBANKA_1437400,PBANKA_1439400,PBANKA_1443200,PBANKA_1444100,PBANKA_1445100,PBANKA_1445500,PBANKA_1450200,PBANKA_1453600,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,PBANKA_1460400,	14.7	1.27	1.6	5.03063042136e-05	0.0371763588138	0.0371763588138
GO:0006807	nitrogen compound metabolic process	511	83	PBANKA_0105900,PBANKA_0110200,PBANKA_0204400,PBANKA_0213200,PBANKA_0214200,PBANKA_0313800,PBANKA_0315200,PBANKA_0409100,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520500,PBANKA_0520600,PBANKA_0614100,PBANKA_0712800,PBANKA_0803100,PBANKA_0821700,PBANKA_0913800,PBANKA_0921500,PBANKA_1003800,PBANKA_1004000,PBANKA_1009800,PBANKA_1014000,PBANKA_1025200,PBANKA_1027500,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1134000,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206900,PBANKA_1207200,PBANKA_1214200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1228200,PBANKA_1237500,PBANKA_1239700,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1316400,PBANKA_1318400,PBANKA_1320700,PBANKA_1325600,PBANKA_1332000,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1357000,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1421100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1439400,PBANKA_1443200,PBANKA_1445500,PBANKA_1450200,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,	16.2	1.41	1.65	0.000264868496796	0.0544306989604	0.195737819132
GO:1901564	organonitrogen compound metabolic process	156	33	PBANKA_0105900,PBANKA_0213200,PBANKA_0313800,PBANKA_0418200,PBANKA_0518700,PBANKA_0520600,PBANKA_0821700,PBANKA_1003800,PBANKA_1004000,PBANKA_1009800,PBANKA_1014000,PBANKA_1120200,PBANKA_1121700,PBANKA_1142400,PBANKA_1143600,PBANKA_1206900,PBANKA_1223300,PBANKA_1228200,PBANKA_1239700,PBANKA_1303300,PBANKA_1307600,PBANKA_1318400,PBANKA_1320700,PBANKA_1325600,PBANKA_1340000,PBANKA_1357000,PBANKA_1362900,PBANKA_1409800,PBANKA_1415100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1450200,	21.2	1.83	2.17	0.000281086546498	0.0544306989604	0.207722957862
GO:0008152	metabolic process	1212	169	PBANKA_0105900,PBANKA_0107100,PBANKA_0110200,PBANKA_0111700,PBANKA_0204200,PBANKA_0204400,PBANKA_0205400,PBANKA_0213200,PBANKA_0214200,PBANKA_0214800,PBANKA_0313800,PBANKA_0315200,PBANKA_0402300,PBANKA_0405300,PBANKA_0409100,PBANKA_0416900,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0517200,PBANKA_0518200,PBANKA_0518700,PBANKA_0518800,PBANKA_0520000,PBANKA_0520500,PBANKA_0520600,PBANKA_0601300,PBANKA_0613400,PBANKA_0614100,PBANKA_0614300,PBANKA_0616000,PBANKA_0616100,PBANKA_0702900,PBANKA_0712800,PBANKA_0714900,PBANKA_0803100,PBANKA_0816100,PBANKA_0821700,PBANKA_0901700,PBANKA_0904900,PBANKA_0906400,PBANKA_0913800,PBANKA_0913900,PBANKA_0917900,PBANKA_0919800,PBANKA_0921500,PBANKA_0928500,PBANKA_0930900,PBANKA_0931700,PBANKA_0932200,PBANKA_0938600,PBANKA_0940100,PBANKA_1003800,PBANKA_1004000,PBANKA_1004400,PBANKA_1009800,PBANKA_1012200,PBANKA_1014000,PBANKA_1025200,PBANKA_1025800,PBANKA_1027500,PBANKA_1031900,PBANKA_1034400,PBANKA_1035300,PBANKA_1035600,PBANKA_1036600,PBANKA_1106800,PBANKA_1108400,PBANKA_1109400,PBANKA_1111600,PBANKA_1114600,PBANKA_1116300,PBANKA_1120200,PBANKA_1121700,PBANKA_1122900,PBANKA_1126200,PBANKA_1127000,PBANKA_1133300,PBANKA_1134000,PBANKA_1140900,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206600,PBANKA_1206900,PBANKA_1207200,PBANKA_1207300,PBANKA_1209800,PBANKA_1212300,PBANKA_1214200,PBANKA_1218200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1233900,PBANKA_1234800,PBANKA_1237200,PBANKA_1237500,PBANKA_1237900,PBANKA_1239700,PBANKA_1242000,PBANKA_1301400,PBANKA_1303300,PBANKA_1303600,PBANKA_1306000,PBANKA_1307600,PBANKA_1307800,PBANKA_1308200,PBANKA_1309900,PBANKA_1315400,PBANKA_1316400,PBANKA_1318100,PBANKA_1318400,PBANKA_1318900,PBANKA_1320700,PBANKA_1320900,PBANKA_1325600,PBANKA_1332000,PBANKA_1334100,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1355200,PBANKA_1357000,PBANKA_1357500,PBANKA_1358600,PBANKA_1360500,PBANKA_1362900,PBANKA_1401600,PBANKA_1402600,PBANKA_1403200,PBANKA_1404900,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1411100,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1419700,PBANKA_1420200,PBANKA_1421100,PBANKA_1421800,PBANKA_1423900,PBANKA_1429600,PBANKA_1430800,PBANKA_1431900,PBANKA_1434200,PBANKA_1437400,PBANKA_1439400,PBANKA_1443200,PBANKA_1444100,PBANKA_1445100,PBANKA_1445500,PBANKA_1446900,PBANKA_1450200,PBANKA_1453600,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,PBANKA_1460400,	13.9	1.21	1.5	0.000364163454267	0.0544306989604	0.269116792704
GO:0046483	heterocycle metabolic process	483	78	PBANKA_0105900,PBANKA_0110200,PBANKA_0204400,PBANKA_0213200,PBANKA_0214200,PBANKA_0313800,PBANKA_0315200,PBANKA_0409100,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520500,PBANKA_0520600,PBANKA_0614100,PBANKA_0712800,PBANKA_0803100,PBANKA_0821700,PBANKA_0913800,PBANKA_0921500,PBANKA_1003800,PBANKA_1009800,PBANKA_1025200,PBANKA_1027500,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1134000,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206900,PBANKA_1207200,PBANKA_1214200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1237500,PBANKA_1239700,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1316400,PBANKA_1318400,PBANKA_1325600,PBANKA_1332000,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1357500,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415600,PBANKA_1421100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1439400,PBANKA_1443200,PBANKA_1445500,PBANKA_1450200,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,	16.1	1.4	1.62	0.000524377376284	0.0544306989604	0.387514881074
GO:1901360	organic cyclic compound metabolic process	484	78	PBANKA_0105900,PBANKA_0110200,PBANKA_0204400,PBANKA_0213200,PBANKA_0214200,PBANKA_0313800,PBANKA_0315200,PBANKA_0409100,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520500,PBANKA_0520600,PBANKA_0614100,PBANKA_0712800,PBANKA_0803100,PBANKA_0821700,PBANKA_0913800,PBANKA_0921500,PBANKA_1003800,PBANKA_1009800,PBANKA_1025200,PBANKA_1027500,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1134000,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206900,PBANKA_1207200,PBANKA_1214200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1237500,PBANKA_1239700,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1316400,PBANKA_1318400,PBANKA_1325600,PBANKA_1332000,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1357500,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415600,PBANKA_1421100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1439400,PBANKA_1443200,PBANKA_1445500,PBANKA_1450200,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,	16.1	1.39	1.62	0.000561139117024	0.0544306989604	0.414681807481
GO:0034641	cellular nitrogen compound metabolic process	494	79	PBANKA_0105900,PBANKA_0110200,PBANKA_0204400,PBANKA_0213200,PBANKA_0214200,PBANKA_0313800,PBANKA_0315200,PBANKA_0409100,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518700,PBANKA_0518800,PBANKA_0520500,PBANKA_0520600,PBANKA_0614100,PBANKA_0712800,PBANKA_0803100,PBANKA_0821700,PBANKA_0913800,PBANKA_0921500,PBANKA_1003800,PBANKA_1004000,PBANKA_1009800,PBANKA_1025200,PBANKA_1027500,PBANKA_1035300,PBANKA_1036600,PBANKA_1108400,PBANKA_1114600,PBANKA_1120200,PBANKA_1121700,PBANKA_1134000,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206900,PBANKA_1207200,PBANKA_1214200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1237500,PBANKA_1239700,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1316400,PBANKA_1318400,PBANKA_1320700,PBANKA_1325600,PBANKA_1332000,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1421100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1439400,PBANKA_1443200,PBANKA_1445500,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,	16.0	1.38	1.6	0.000658545180529	0.0544306989604	0.486664888411
GO:0044281	small molecule metabolic process	183	36	PBANKA_0313800,PBANKA_0418200,PBANKA_0513600,PBANKA_0518700,PBANKA_0520000,PBANKA_0520600,PBANKA_0821700,PBANKA_1003800,PBANKA_1004000,PBANKA_1014000,PBANKA_1036600,PBANKA_1121700,PBANKA_1122900,PBANKA_1142400,PBANKA_1143600,PBANKA_1206900,PBANKA_1214200,PBANKA_1223300,PBANKA_1228200,PBANKA_1303300,PBANKA_1307600,PBANKA_1318400,PBANKA_1320900,PBANKA_1325600,PBANKA_1340000,PBANKA_1343000,PBANKA_1357000,PBANKA_1357500,PBANKA_1358600,PBANKA_1362900,PBANKA_1409800,PBANKA_1415100,PBANKA_1421800,PBANKA_1429600,PBANKA_1434200,PBANKA_1450200,	19.7	1.7	1.98	0.000658800620689	0.0544306989604	0.486853658689
GO:1901293	nucleoside phosphate biosynthetic process	38	12	PBANKA_0313800,PBANKA_0513600,PBANKA_0520600,PBANKA_0821700,PBANKA_1036600,PBANKA_1142400,PBANKA_1214200,PBANKA_1307600,PBANKA_1343000,PBANKA_1362900,PBANKA_1409800,PBANKA_1421800,	31.6	2.73	3.63	0.000766431928211	0.0544306989604	0.566393194948
GO:0044238	primary metabolic process	1067	150	PBANKA_0107100,PBANKA_0110200,PBANKA_0111700,PBANKA_0204200,PBANKA_0204400,PBANKA_0205400,PBANKA_0214200,PBANKA_0214800,PBANKA_0313800,PBANKA_0315200,PBANKA_0405300,PBANKA_0409100,PBANKA_0416900,PBANKA_0418200,PBANKA_0502700,PBANKA_0511500,PBANKA_0513600,PBANKA_0518200,PBANKA_0518700,PBANKA_0518800,PBANKA_0520000,PBANKA_0520500,PBANKA_0520600,PBANKA_0601300,PBANKA_0613400,PBANKA_0614100,PBANKA_0616000,PBANKA_0616100,PBANKA_0702900,PBANKA_0712800,PBANKA_0803100,PBANKA_0816100,PBANKA_0821700,PBANKA_0904900,PBANKA_0906400,PBANKA_0913800,PBANKA_0913900,PBANKA_0917900,PBANKA_0919800,PBANKA_0921500,PBANKA_0928500,PBANKA_0930900,PBANKA_0931700,PBANKA_0932200,PBANKA_0938600,PBANKA_0940100,PBANKA_1003800,PBANKA_1004000,PBANKA_1004400,PBANKA_1012200,PBANKA_1014000,PBANKA_1025200,PBANKA_1025800,PBANKA_1027500,PBANKA_1031900,PBANKA_1034400,PBANKA_1035300,PBANKA_1035600,PBANKA_1036600,PBANKA_1106800,PBANKA_1108400,PBANKA_1109400,PBANKA_1111600,PBANKA_1114600,PBANKA_1116300,PBANKA_1121700,PBANKA_1122900,PBANKA_1126200,PBANKA_1127000,PBANKA_1133300,PBANKA_1134000,PBANKA_1140900,PBANKA_1142400,PBANKA_1143000,PBANKA_1143600,PBANKA_1145500,PBANKA_1201600,PBANKA_1202200,PBANKA_1206600,PBANKA_1206900,PBANKA_1207200,PBANKA_1207300,PBANKA_1209800,PBANKA_1214200,PBANKA_1218200,PBANKA_1220100,PBANKA_1223300,PBANKA_1226900,PBANKA_1228200,PBANKA_1231500,PBANKA_1233100,PBANKA_1233900,PBANKA_1234800,PBANKA_1237200,PBANKA_1237500,PBANKA_1237900,PBANKA_1239700,PBANKA_1242000,PBANKA_1301400,PBANKA_1303300,PBANKA_1306000,PBANKA_1307600,PBANKA_1307800,PBANKA_1309900,PBANKA_1315400,PBANKA_1316400,PBANKA_1318100,PBANKA_1318400,PBANKA_1320700,PBANKA_1325600,PBANKA_1332000,PBANKA_1334100,PBANKA_1340000,PBANKA_1343000,PBANKA_1354000,PBANKA_1355200,PBANKA_1357000,PBANKA_1357500,PBANKA_1358600,PBANKA_1362900,PBANKA_1402600,PBANKA_1403200,PBANKA_1404900,PBANKA_1405400,PBANKA_1405600,PBANKA_1409800,PBANKA_1414200,PBANKA_1415100,PBANKA_1415600,PBANKA_1419700,PBANKA_1420200,PBANKA_1421100,PBANKA_1421800,PBANKA_1423900,PBANKA_1429600,PBANKA_1431900,PBANKA_1434200,PBANKA_1437400,PBANKA_1439400,PBANKA_1443200,PBANKA_1444100,PBANKA_1445100,PBANKA_1445500,PBANKA_1450200,PBANKA_1453600,PBANKA_1454000,PBANKA_1455100,PBANKA_1457300,PBANKA_1459700,PBANKA_1460400,	14.1	1.22	1.47	0.000785057112832	0.0544306989604	0.580157206383
