sample_id	Pb_2hr.dat	Pb_4hr.dat	Pb_6hr.dat	Pb_8hr.dat	Pb_10hr.dat	Pb_12hr.dat	Pb_14hr.dat	Pb_16hr.dat	Pb_18hr.dat	Pb_20hr.dat	Pb_22hr.dat	Pb_24hr.dat
PBANKA_1446900	0.089026648	-0.57831958	-0.008960232	0.236271657	0.315179799	0.488369141	0.449415304	0.346186572	-0.438052151	-0.475249008	-0.865548704	-1.214177122
PBANKA_0414600	0.09892297	0.318771936	0.083084917	0.357025309	0.076874565	0.015086932	-0.16307805	-0.361763554	-0.467951978	-0.967114727	-0.631049885	-0.434793615
PBANKA_0922800	0.221463203	-0.094668768	0.379663843	0.419822547	0.405957013	0.196705295	-0.150826687	-0.591008166	-0.888666844	-1.537175196	-1.637112974	-1.29991629
PBANKA_0905800	-0.011373092	-0.13522677	-0.225507047	0.06081766	0.040427185	0.307193955	0.404905216	0.181435795	0.071839142	-0.15150298	-1.015040047	-1.058593298
PBANKA_1130500	0.171549068	0.219117677	0.190942292	0.278478892	0.364574571	0.094728687	0.164440572	-0.248769504	-0.788180739	-1.259794153	-1.544364891	-1.32211504
PBANKA_0804000	0.448536648	0.555595059	0.250336054	0.29633679	-0.264895323	0.121888051	0.08154871	-0.409466584	-0.726964533	-0.381985414	-1.194665334	-0.353745094
PBANKA_0310000	0.234635423	0.517962742	0.112179865	0.015531916	-0.117294594	-0.32787421	-0.007627677	-0.377434582	-0.81190664	-0.630066335	-0.723350327	-0.577261376
PBANKA_1221200	0.646428845	0.297582527	0.360206166	0.256047657	0.054449305	-0.251402869	-0.019090916	0.012113244	-0.481170987	-0.716608969	-0.217998354	-0.795940756
PBANKA_0515400	0.456099858	0.07904121	0.251426158	0.325367847	0.269662872	0.398670051	0.231470552	0.144198897	-0.307196231	-0.181192475	-0.629854685	-0.550394744
PBANKA_0109600	-0.627787404	-0.327212861	-0.160230491	0.311625886	0.364060073	0.030915489	0.366035553	-0.057942339	-0.329132613	-0.594760758	-0.926292919	-1.19723773
PBANKA_1427200	-0.261965146	-0.22263158	-0.132163713	-0.031151528	-0.312298687	0.021766316	0.215687835	0.239513768	0.048225515	0.192100178	-0.069124748	-0.456571538
PBANKA_0936400	0.28112984	-0.411104833	0.337031306	0.336134436	0.483380843	-0.024494249	0.098825301	0.151339215	-0.329829887	-0.116006875	-0.960953102	-1.311248731
PBANKA_1202500	0.384118933	-0.017288163	0.435076629	0.106512741	0.323816627	0.182871836	0.481294363	-0.099844416	-0.36409598	-0.400188553	-1.186854884	-1.598714123
PBANKA_1219500	0.177209553	0.964940363	-0.088537798	0.218820902	0.088911432	0.108197151	-0.474263525	-0.592590151	-0.678791912	-0.766527247	0.139897195	-0.069176586
PBANKA_0923200	-0.387242003	-0.121342419	-0.194425513	-0.067461075	0.062059029	0.242713753	0.589641581	0.173987858	0.036718268	0.156783926	-0.546846507	-0.443429663
PBANKA_0807000	0.340511899	0.775267321	0.141501892	0.021033314	0.180438908	0.236685226	0.122215725	-0.07294648	-0.403739675	-0.139660287	0.209692099	0.265906592
PBANKA_1337100	0.344401733	0.290194718	0.350860854	-0.155668956	0.226143674	0.034973013	-0.447172359	-0.745057626	-0.742328609	-0.61656353	-0.412169378	-0.879383725
PBANKA_0503600	0.233378778	0.197136399	0.36015445	0.394984314	0.289168295	-0.101312737	-0.430458244	-0.788878934	-0.848535676	-1.032447274	-0.754630934	0.049252757
PBANKA_1227200	0.597118163	0.50277673	0.028445105	-0.211857129	0.198087307	0.2389856	0.027038645	0.308310789	-0.103770478	0.036222242	-0.526581882	0.1529975
PBANKA_0836700	-1.041114167	-0.795721477	-0.214701958	-0.350511333	-0.113783508	0.166391994	0.050236963	-0.11379672	-0.218818869	-0.257815553	-0.474889328	-1.332485647
PBANKA_0620500	0.264318396	0.071202184	-0.2476025	0.473230784	0.096189845	0.208546856	-0.162110347	-0.362060381	-0.254959751	-0.481269843	-0.920090767	-0.649684441
PBANKA_1222400	0.065387655	0.076149148	0.097813293	0.252775656	0.280923683	0.270044357	0.396568969	-0.076308546	-0.61364812	-0.545738887	-1.017923765	-1.312272881
PBANKA_1322600	-1.292834529	-0.822099875	-0.932623864	-0.301503809	-0.159756947	0.293633555	0.155787785	0.222446972	-0.079129326	-0.111278496	-0.553511892	-0.188566868
PBANKA_1228200	0.269346132	0.477681041	-0.03761135	0.3313282	0.25182868	0.138984027	0.026996276	-0.28238324	-0.214410567	-0.419082468	0.23704439	-0.2130008
PBANKA_0108700	-0.030090864	-0.037691953	-0.044499051	0.134833763	0.053565626	0.198801406	-0.149258691	-0.480090792	-0.635784053	-0.409337657	-0.082078733	0.132270896
PBANKA_0819500	-0.00595676	0.651376258	-0.315937092	0.65930687	0.106388375	-0.045810092	0.166789365	0.354740104	0.294788943	0.373075958	-0.764206842	-0.541982477
PBANKA_1409800	-0.949112828	-0.969739782	0.104124001	-0.235373316	0.301675126	0.497280515	0.253756394	-0.241996821	-0.302563098	-0.690273054	-1.391969301	-1.095762023
PBANKA_0518700	0.186411908	0.15291705	0.069176883	0.250535572	0.158541639	-0.431570791	-0.44104012	-0.087314882	-0.124806938	0.049230999	0.610414604	0.872581139
PBANKA_0403600	-0.097390141	-0.039116235	-0.077741692	-0.205858004	0.155444038	0.100091443	0.100045584	-0.028192826	-0.030994088	0.103884037	-0.392291419	-0.616624238
PBANKA_0717700	-0.025851042	-0.21139445	0.462052905	0.249717956	1.306760803	0.661181026	0.533399788	0.302171095	0.088716951	-0.178426925	-0.631158528	-0.261014528
PBANKA_0201600	-0.897055569	0.45227638	0	-0.120721645	-0.287652333	-0.103219371	0.306692754	0.032041714	0.184537813	-0.513793979	0.269872631	0.764723715
PBANKA_0813900	0.052186867	-0.228959293	0.198406541	0.453864587	0.350533321	0.390264818	0.346612754	-0.059353978	-0.287641002	-0.860829011	-0.978983346	-1.581534416
PBANKA_1335900	-0.126839183	-0.161493855	0.109186688	0.488042561	0.37607513	0.425014413	0.580385263	0.367582307	-1.62578284	-0.156137815	-0.585392731	-0.78938594
PBANKA_1308200	-0.27817979	-0.57351062	-0.023371302	0.131999078	0.644310655	0.282549277	0.404031465	-0.029749203	-0.194415381	-0.50245624	-0.912403489	-1.252832226
PBANKA_0715200	0.283847118	0.210628295	0.162732171	0.121414887	0.0443017	-0.020537656	-0.538789135	-0.469366365	-0.671635633	-0.968385015	-0.545292898	0.070945691
PBANKA_1108900	0.45253497	-0.329462725	0.381872896	0.487626336	0.50872575	0.36009155	0.230859163	0.244422508	-0.00720695	-0.664273417	-0.900660889	-1.35197133
PBANKA_0616800	0.419729846	0.524637637	-0.113300733	0.101995424	0.112118139	0.419804836	-0.156377324	-0.092862572	-0.224189878	-0.501005545	-0.363543345	-0.934228692
PBANKA_0509000	0.274878417	0.981639921	0.243743466	-0.081033741	0.030241492	-0.299127415	-0.295714032	-0.323768591	-0.398739272	-0.150541689	0.78810875	0.934006548
PBANKA_0803500	-1.078743382	-0.911133682	-0.276858358	-0.118829692	0.496304283	0.146531634	0.179307698	-0.200727283	-0.497704758	-0.997004646	-1.255783138	-1.629833228
