"","status","family","pval","qval"
"PBANKA_0311400","OK","negbinomial.size",5.77953714357353e-89,1.17290606737228e-87
"PBANKA_0311500","OK","negbinomial.size",4.20289308646991e-176,4.83332704944039e-174
"PBANKA_0311700","OK","negbinomial.size",1.1862257055956e-31,4.78093304241219e-31
"PBANKA_0312000","OK","negbinomial.size",4.1596200364985e-143,2.56262305819997e-141
"PBANKA_0312800","OK","negbinomial.size",3.1252177247808e-60,3.24759070798005e-59
"PBANKA_0313300","OK","negbinomial.size",2.35152288914601e-29,8.64899143662444e-29
"PBANKA_0313800","OK","negbinomial.size",3.58144597729817e-07,5.16123167154498e-07
"PBANKA_0315000","OK","negbinomial.size",2.08486686382368e-15,4.1673178911887e-15
"PBANKA_0315200","OK","negbinomial.size",5.39080485460415e-10,8.57854093560161e-10
"PBANKA_0316100","OK","negbinomial.size",1.04573428202518e-12,1.83508813478479e-12
"PBANKA_0401000","OK","negbinomial.size",1.75275758844761e-09,2.72879678706871e-09
"PBANKA_0401300","OK","negbinomial.size",1.31707590266792e-31,5.27135947123471e-31
"PBANKA_0401600","OK","negbinomial.size",1.61302888551144e-13,2.93200719442281e-13
"PBANKA_0401800","OK","negbinomial.size",1.72830630017006e-18,3.98041170599914e-18
"PBANKA_0402300","OK","negbinomial.size",1.88482396012797e-19,4.48458114651137e-19
"PBANKA_0402700","OK","negbinomial.size",5.46261812280338e-76,8.26580373845248e-75
"PBANKA_0402900","OK","negbinomial.size",2.12837812821507e-13,3.85252074624449e-13
"PBANKA_0403000","OK","negbinomial.size",4.77424006353004e-06,6.52580357336713e-06
"PBANKA_0403100","OK","negbinomial.size",3.0022304418228e-36,1.43458379837793e-35
"PBANKA_0403600","OK","negbinomial.size",8.2198229045199e-46,5.49581182569644e-45
"PBANKA_0404200","OK","negbinomial.size",2.83101114086722e-34,1.27174328593645e-33
"PBANKA_0404300","OK","negbinomial.size",2.22932310339204e-43,1.39332693962003e-42
"PBANKA_0405100","OK","negbinomial.size",1.1911420798008e-15,2.41447718878541e-15
"PBANKA_0405200","OK","negbinomial.size",4.85511228604334e-28,1.67167039788917e-27
"PBANKA_0405300","OK","negbinomial.size",3.543844717554e-16,7.40088636535187e-16
"PBANKA_0405400","OK","negbinomial.size",1.99272211166913e-07,2.90079801065759e-07
"PBANKA_0406000","OK","negbinomial.size",7.31202711131709e-21,1.84134989299591e-20
"PBANKA_0406500","OK","negbinomial.size",6.80204969463002e-60,6.94292054629396e-59
"PBANKA_0406700","OK","negbinomial.size",3.38056813605996e-39,1.81666044694811e-38
"PBANKA_0406900","OK","negbinomial.size",1.65082003403931e-78,2.71206148449316e-77
"PBANKA_0407000","OK","negbinomial.size",1.13915334106139e-09,1.79291926398805e-09
"PBANKA_0407100","OK","negbinomial.size",8.5962468102368e-29,3.05742798920794e-28
"PBANKA_0407400","OK","negbinomial.size",8.04855710314072e-49,5.95869570940676e-48
"PBANKA_0407800","OK","negbinomial.size",7.72583231538278e-07,1.08881215229047e-06
"PBANKA_0407900","OK","negbinomial.size",2.60869658746786e-16,5.50122446623724e-16
"PBANKA_0408200","OK","negbinomial.size",2.50017387777858e-141,1.48717239281657e-139
"PBANKA_0408400","OK","negbinomial.size",2.53012369853828e-06,3.48877968023864e-06
"PBANKA_0409000","OK","negbinomial.size",1.61605046391867e-76,2.51142977500875e-75
"PBANKA_0409100","OK","negbinomial.size",2.85981745777673e-47,2.00535980270929e-46
"PBANKA_0409300","OK","negbinomial.size",8.94904647019261e-19,2.08328004872905e-18
"PBANKA_0409700","OK","negbinomial.size",1.15080803590292e-80,2.00519582013388e-79
"PBANKA_0409800","OK","negbinomial.size",1.39076959748076e-33,6.07361406494763e-33
"PBANKA_0410000","OK","negbinomial.size",5.98711274635547e-13,1.06034594327137e-12
"PBANKA_0410100","OK","negbinomial.size",1.13104875382925e-11,1.91844552640654e-11
"PBANKA_0410650","OK","negbinomial.size",3.42654498980616e-136,1.64188614094878e-134
"PBANKA_0410800","OK","negbinomial.size",2.77830721682173e-25,8.46745574031357e-25
"PBANKA_0411000","OK","negbinomial.size",2.11410869621002e-14,4.00311471016717e-14
"PBANKA_0411100","OK","negbinomial.size",5.75192639424469e-15,1.12367757984961e-14
"PBANKA_0411200","OK","negbinomial.size",2.58718074171979e-14,4.86153243950614e-14
"PBANKA_0411400","OK","negbinomial.size",1.43322507229111e-14,2.74092378015762e-14
"PBANKA_0411500","OK","negbinomial.size",9.40611208317152e-16,1.91791292476015e-15
"PBANKA_0411800","OK","negbinomial.size",8.96231214533222e-33,3.8172810989378e-32
"PBANKA_0412000","OK","negbinomial.size",1.66700494179671e-07,2.43693519033841e-07
"PBANKA_0412900","OK","negbinomial.size",7.90465266835518e-219,3.40888146322817e-216
"PBANKA_0413500","OK","negbinomial.size",1.88237798135524e-32,7.91976101911657e-32
"PBANKA_0413600","OK","negbinomial.size",1.77997886516855e-19,4.25271958783345e-19
"PBANKA_0413800","OK","negbinomial.size",1.18310441801402e-25,3.6772164343679e-25
"PBANKA_0414200","OK","negbinomial.size",1.02524506469663e-16,2.1969537100642e-16
"PBANKA_0414300","OK","negbinomial.size",3.14654963664456e-69,4.02059120237915e-68
"PBANKA_0414700","OK","negbinomial.size",9.31360530265288e-14,1.712789887748e-13
"PBANKA_0416400","OK","negbinomial.size",1.70203626763105e-15,3.41794244663976e-15
"PBANKA_0416500","OK","negbinomial.size",4.36572493836115e-16,9.08428892481663e-16
"PBANKA_0416700","OK","negbinomial.size",2.66502862304647e-16,5.60631021311606e-16
"PBANKA_0416800","OK","negbinomial.size",6.19704259739371e-16,1.27260696196478e-15
"PBANKA_0416900","OK","negbinomial.size",9.87467644025792e-40,5.3734438042413e-39
"PBANKA_0417000","OK","negbinomial.size",2.21054356970964e-14,4.17654727026191e-14
"PBANKA_0417200","OK","negbinomial.size",5.26945292682046e-75,7.70322567691974e-74
"PBANKA_0417700","OK","negbinomial.size",1.33279294465255e-33,5.83519753686714e-33
"PBANKA_0418000","OK","negbinomial.size",3.74474075316844e-13,6.70786895037961e-13
"PBANKA_0418200","OK","negbinomial.size",1.37875411059691e-22,3.73954534713784e-22
"PBANKA_0501500","OK","negbinomial.size",3.79810466246246e-36,1.80987031567617e-35
"PBANKA_0501800","OK","negbinomial.size",1.27499564536391e-12,2.22158332146742e-12
"PBANKA_0502100","OK","negbinomial.size",2.69244391512667e-21,6.9114073714189e-21
"PBANKA_0502200","OK","negbinomial.size",1.34841851022237e-45,8.94623819282151e-45
"PBANKA_0502600","OK","negbinomial.size",2.22127090939942e-12,3.83552784656056e-12
"PBANKA_0502700","OK","negbinomial.size",2.114539606229e-17,4.65846848115585e-17
"PBANKA_0502800","OK","negbinomial.size",1.45852430094811e-21,3.77770933804128e-21
"PBANKA_0503600","OK","negbinomial.size",2.23101949189459e-10,3.6170193830058e-10
"PBANKA_0503800","OK","negbinomial.size",4.44608840037662e-85,8.33641575070617e-84
"PBANKA_0504300","OK","negbinomial.size",2.63297561223775e-76,4.05525261706261e-75
"PBANKA_0504400","OK","negbinomial.size",9.13581363397445e-127,3.75220917109665e-125
"PBANKA_0505700","OK","negbinomial.size",8.98026439051396e-29,3.1874395213244e-28
"PBANKA_0506100","OK","negbinomial.size",2.88879186630835e-17,6.34798212660115e-17
"PBANKA_0506500","OK","negbinomial.size",4.55474169271679e-10,7.26820482880339e-10
"PBANKA_0506600","OK","negbinomial.size",1.02374341884669e-38,5.41704723162744e-38
"PBANKA_0506800","OK","negbinomial.size",5.01432005030264e-13,8.92642114217963e-13
"PBANKA_0508300","OK","negbinomial.size",1.86431658694603e-82,3.34994386716865e-81
"PBANKA_0508400","OK","negbinomial.size",6.42978224667358e-17,1.3846909332724e-16
"PBANKA_0508900","OK","negbinomial.size",7.22933431532778e-07,1.02218046671643e-06
"PBANKA_0509800","OK","negbinomial.size",3.02787231192065e-15,5.98290920740335e-15
"PBANKA_0510700","OK","negbinomial.size",1.75445356631905e-36,8.4774016859954e-36
"PBANKA_0510900","OK","negbinomial.size",1.35701258753811e-06,1.89235789288863e-06
"PBANKA_0511000","OK","negbinomial.size",5.81937918432828e-38,2.96118852299891e-37
"PBANKA_0511500","OK","negbinomial.size",4.70090694385105e-19,1.1093111461208e-18
"PBANKA_0511900","OK","negbinomial.size",2.20423486488294e-12,3.80992499190689e-12
"PBANKA_0513000","OK","negbinomial.size",1.17331478325531e-133,5.47018378679842e-132
"PBANKA_0513600","OK","negbinomial.size",6.11246375670163e-36,2.89670329129404e-35
"PBANKA_0513700","OK","negbinomial.size",6.81342001936953e-55,5.81839085812497e-54
"PBANKA_0514600","OK","negbinomial.size",1.04730135019532e-13,1.92190939264566e-13
"PBANKA_0514700","OK","negbinomial.size",7.76532255111446e-13,1.36965044996651e-12
"PBANKA_0514900","OK","negbinomial.size",4.7448925101621e-86,8.99443909893366e-85
"PBANKA_0515000","OK","negbinomial.size",9.3374741439686e-57,8.89897397698665e-56
"PBANKA_0516100","OK","negbinomial.size",1.48176529462537e-06,2.06299042229924e-06
"PBANKA_0516300","OK","negbinomial.size",6.78305768785318e-09,1.03546677093334e-08
"PBANKA_0516600","OK","negbinomial.size",1.9079487541188e-27,6.45335608010771e-27
"PBANKA_0516800","OK","negbinomial.size",1.79632993975424e-24,5.30594031862341e-24
"PBANKA_0517200","OK","negbinomial.size",3.21768337699585e-29,1.16852712111955e-28
"PBANKA_0517300","OK","negbinomial.size",5.01936418923029e-23,1.38203674887478e-22
"PBANKA_0517600","OK","negbinomial.size",2.27251664787023e-42,1.39505025536518e-41
"PBANKA_0518100","OK","negbinomial.size",1.48414771445976e-150,1.06673116976796e-148
"PBANKA_0518200","OK","negbinomial.size",1.72084148132448e-29,6.38376678555856e-29
"PBANKA_0518300","OK","negbinomial.size",4.6027637573837e-35,2.10046758769494e-34
"PBANKA_0518600","OK","negbinomial.size",3.02000267336032e-26,9.61163212462465e-26
"PBANKA_0518700","OK","negbinomial.size",1.03444109033651e-22,2.81897453527723e-22
"PBANKA_0518800","OK","negbinomial.size",7.06973107670222e-19,1.65922259963419e-18
"PBANKA_0518900","OK","negbinomial.size",1.41638939357013e-19,3.41239064791687e-19
"PBANKA_0519700","OK","negbinomial.size",8.32240387838108e-36,3.92244445087633e-35
"PBANKA_0519800","OK","negbinomial.size",4.78161335469857e-42,2.89413439889651e-41
"PBANKA_0520000","OK","negbinomial.size",4.79936507617191e-30,1.83567732957795e-29
"PBANKA_0520200","OK","negbinomial.size",1.42962477795967e-24,4.23728993467428e-24
"PBANKA_0520500","OK","negbinomial.size",2.16809433752139e-24,6.37131640924087e-24
"PBANKA_0520600","OK","negbinomial.size",7.34555569825349e-48,5.23598495020135e-47
"PBANKA_0520700","OK","negbinomial.size",1.00862573238553e-26,3.30775549118829e-26
"PBANKA_0520800","OK","negbinomial.size",3.39246118516384e-10,5.43865756915207e-10
"PBANKA_0520900","OK","negbinomial.size",2.56822508299308e-23,7.14546494865011e-23
"PBANKA_0521000","OK","negbinomial.size",3.22186517003574e-14,6.02136231669734e-14
"PBANKA_0521221","OK","negbinomial.size",1.84578619178033e-38,9.64842782066991e-38
"PBANKA_0521241","OK","negbinomial.size",1.78483557633979e-122,6.5507263174173e-121
"PBANKA_0521261","OK","negbinomial.size",6.92469456010413e-22,1.81812756715063e-21
"PBANKA_0521800","OK","negbinomial.size",7.90600048031039e-12,1.34894666948916e-11
"PBANKA_0522300","OK","negbinomial.size",3.61579234744812e-76,5.51968300827257e-75
"PBANKA_0523600","OK","negbinomial.size",1.81332170774942e-10,2.95871048869981e-10
"PBANKA_0601100","OK","negbinomial.size",4.7036148300647e-39,2.51199244020484e-38
"PBANKA_0601300","OK","negbinomial.size",4.37091556594739e-09,6.72598514831333e-09
"PBANKA_0602700","OK","negbinomial.size",5.52514566022193e-16,1.14142230705184e-15
"PBANKA_0603200","OK","negbinomial.size",9.41299764109628e-27,3.09874445246013e-26
"PBANKA_0603400","OK","negbinomial.size",1.59527427507895e-36,7.72991046211008e-36
"PBANKA_0603600","OK","negbinomial.size",6.52233449686435e-22,1.71509558034924e-21
"PBANKA_0603800","OK","negbinomial.size",1.42564969299448e-19,3.42991034925451e-19
"PBANKA_0603900","OK","negbinomial.size",6.64288414847834e-106,1.79046486814455e-104
"PBANKA_0604500","OK","negbinomial.size",7.71901622107217e-18,1.73829020644249e-17
"PBANKA_0604800","OK","negbinomial.size",2.90180741555505e-15,5.74697794699479e-15
"PBANKA_0604900","OK","negbinomial.size",9.25192253294739e-64,1.0363354785282e-62
"PBANKA_0605800","OK","negbinomial.size",3.5254416374476e-80,6.02117507385852e-79
"PBANKA_0606000","OK","negbinomial.size",7.27842955358188e-39,3.86316645536269e-38
"PBANKA_0606100","OK","negbinomial.size",8.03098541979808e-24,2.27852793571574e-23
"PBANKA_0606800","OK","negbinomial.size",6.94340540632799e-25,2.08665057942784e-24
"PBANKA_0607100","OK","negbinomial.size",4.87685348801168e-17,1.05685581241459e-16
"PBANKA_0608000","OK","negbinomial.size",2.33099499070716e-46,1.58931476639125e-45
"PBANKA_0608400","OK","negbinomial.size",7.50899612125358e-08,1.1108935085045e-07
"PBANKA_0608600","OK","negbinomial.size",3.39632732960816e-40,1.88989182050776e-39
"PBANKA_0608700","OK","negbinomial.size",3.94359051133402e-12,6.76884938512556e-12
"PBANKA_0609100","OK","negbinomial.size",2.00831665189081e-18,4.61297766246557e-18
"PBANKA_0609500","OK","negbinomial.size",3.68233771931626e-123,1.3808766447436e-121
"PBANKA_0609600","OK","negbinomial.size",8.03033270806804e-218,2.77046478428347e-215
"PBANKA_0610000","OK","negbinomial.size",1.73023729095199e-09,2.69616922031815e-09
"PBANKA_0610300","OK","negbinomial.size",3.06189631831269e-28,1.0584711721622e-27
"PBANKA_0612300","OK","negbinomial.size",1.35366343116035e-12,2.35390062374153e-12
"PBANKA_0612400","OK","negbinomial.size",3.08593314312086e-29,1.12304528942689e-28
"PBANKA_0613400","OK","negbinomial.size",2.39826958982814e-11,4.02825223218455e-11
"PBANKA_0613700","OK","negbinomial.size",3.46074964035549e-09,5.35407455570693e-09
"PBANKA_0614000","OK","negbinomial.size",1.12140393686071e-26,3.670629584601e-26
"PBANKA_0614100","OK","negbinomial.size",2.57782557660979e-30,9.97028950594594e-30
"PBANKA_0614200","OK","negbinomial.size",1.43165675737954e-15,2.878330893333e-15
"PBANKA_0614300","OK","negbinomial.size",4.28718076973657e-15,8.41340936040453e-15
"PBANKA_0615400","OK","negbinomial.size",1.27050502935962e-25,3.93468792754999e-25
"PBANKA_0615500","OK","negbinomial.size",4.04858278687754e-121,1.45495943903412e-119
"PBANKA_0616000","OK","negbinomial.size",1.02439603281047e-61,1.08327745127426e-60
"PBANKA_0616100","OK","negbinomial.size",1.07148362498217e-33,4.70600356521871e-33
"PBANKA_0616200","OK","negbinomial.size",1.59286882587055e-99,3.81624822864818e-98
"PBANKA_0616400","OK","negbinomial.size",1.73430842280651e-97,3.98890937245498e-96
"PBANKA_0616500","OK","negbinomial.size",4.06953004837144e-36,1.9338675849699e-35
"PBANKA_0616800","OK","negbinomial.size",1.11890832238379e-29,4.18680446011287e-29
"PBANKA_0617400","OK","negbinomial.size",4.14906187541777e-11,6.90176637907006e-11
"PBANKA_0617500","OK","negbinomial.size",1.53493934361501e-38,8.04793424843738e-38
"PBANKA_0617800","OK","negbinomial.size",6.72920423836102e-131,2.97637879773661e-129
"PBANKA_0618100","OK","negbinomial.size",4.96338911793215e-09,7.61730091497594e-09
"PBANKA_0618800","OK","negbinomial.size",6.21240918865282e-15,1.21089331643233e-14
"PBANKA_0619200","OK","negbinomial.size",1.17351613678142e-233,1.01215766797398e-230
"PBANKA_0619300","OK","negbinomial.size",2.80514238332937e-22,7.45588692025141e-22
"PBANKA_0619900","OK","negbinomial.size",1.90557053753077e-06,2.6381293557308e-06
"PBANKA_0620500","OK","negbinomial.size",1.31804656024733e-20,3.28559294281306e-20
"PBANKA_0621100","OK","negbinomial.size",9.82803934139468e-24,2.77469195808606e-23
"PBANKA_0621200","OK","negbinomial.size",1.19578550692088e-09,1.87691537710511e-09
"PBANKA_0622300","OK","negbinomial.size",5.92955361837353e-29,2.11769772084769e-28
"PBANKA_0622700","OK","negbinomial.size",8.49563691094046e-34,3.75768555676213e-33
