"","SC3_5_clust","sample_id","ookoo"
"ook_55","3","ook_55","Ookinete"
"ook_58","4","ook_58","Ookinete"
"ook_62","3","ook_62","Ookinete"
"ook_63","3","ook_63","Ookinete"
"ook_64","4","ook_64","Ookinete"
"ook_66","4","ook_66","Ookinete"
"ook_67","4","ook_67","Ookinete"
"ook_70","4","ook_70","Ookinete"
"ook_71","3","ook_71","Ookinete"
"ook_72","4","ook_72","Ookinete"
"ook_73","3","ook_73","Ookinete"
"ook_74","3","ook_74","Ookinete"
"ook_75","4","ook_75","Ookinete"
"ook_76","3","ook_76","Ookinete"
"ook_77","3","ook_77","Ookinete"
"ook_78","3","ook_78","Ookinete"
"ook_79","3","ook_79","Ookinete"
"ook_81","3","ook_81","Ookinete"
"ook_82","3","ook_82","Ookinete"
"ook_83","3","ook_83","Ookinete"
"ook_87","3","ook_87","Ookinete"
"ook_88","3","ook_88","Ookinete"
"ook_89","3","ook_89","Ookinete"
"ook_90","3","ook_90","Ookinete"
"ook_91","3","ook_91","Ookinete"
"ook_92","3","ook_92","Ookinete"
"ook_93","3","ook_93","Ookinete"
"ook_107","3","ook_107","Ookinete"
"ook_121","3","ook_121","Ookinete"
"ook_122","3","ook_122","Ookinete"
"ook_123","3","ook_123","Ookinete"
"ook_124","3","ook_124","Ookinete"
"ook_125","3","ook_125","Ookinete"
"ook_127","3","ook_127","Ookinete"
"ook_128","3","ook_128","Ookinete"
"ook_130","3","ook_130","Ookinete"
"ook_131","4","ook_131","Ookinete"
"ook_132","3","ook_132","Ookinete"
"ook_146","3","ook_146","Ookinete"
"ook_148","3","ook_148","Ookinete"
"ook_149","3","ook_149","Ookinete"
"ook_151","3","ook_151","Ookinete"
"ook_152","3","ook_152","Ookinete"
"ook_155","3","ook_155","Ookinete"
"ook_156","3","ook_156","Ookinete"
"ook_171","3","ook_171","Ookinete"
"ook_174","3","ook_174","Ookinete"
"ook_175","3","ook_175","Ookinete"
"ook_176","3","ook_176","Ookinete"
"ook_177","3","ook_177","Ookinete"
"ook_194","3","ook_194","Ookinete"
"ook_195","3","ook_195","Ookinete"
"ook_196","3","ook_196","Ookinete"
"ook_202","3","ook_202","Ookinete"
"ook_203","4","ook_203","Ookinete"
"ook_204","3","ook_204","Ookinete"
"ook_218","3","ook_218","Ookinete"
"ook_222","4","ook_222","Ookinete"
"ook_223","4","ook_223","Ookinete"
"ook_224","4","ook_224","Ookinete"
"ook_225","3","ook_225","Ookinete"
"ook_226","3","ook_226","Ookinete"
"ook_242","3","ook_242","Ookinete"
"ook_244","3","ook_244","Ookinete"
"ook_245","3","ook_245","Ookinete"
"ook_248","3","ook_248","Ookinete"
"ook_252","3","ook_252","Ookinete"
"ook_266","3","ook_266","Ookinete"
"ook_267","3","ook_267","Ookinete"
"ook_269","3","ook_269","Ookinete"
"ook_270","4","ook_270","Ookinete"
"ook_274","3","ook_274","Ookinete"
"ookoo_10","1","ookoo_10","Oocyst"
"ookoo_11","1","ookoo_11","Oocyst"
"ookoo_12","1","ookoo_12","Oocyst"
"ookoo_13","1","ookoo_13","Oocyst"
"ookoo_14","1","ookoo_14","Oocyst"
"ookoo_15","1","ookoo_15","Oocyst"
"ookoo_16","5","ookoo_16","Ookinete"
"ookoo_25","1","ookoo_25","Oocyst"
"ookoo_26","1","ookoo_26","Oocyst"
"ookoo_27","1","ookoo_27","Oocyst"
"ookoo_28","5","ookoo_28","Ookinete"
"ookoo_29","1","ookoo_29","Oocyst"
"ookoo_30","1","ookoo_30","Oocyst"
"ookoo_31","1","ookoo_31","Oocyst"
"ookoo_32","1","ookoo_32","Oocyst"
"ookoo_41","1","ookoo_41","Oocyst"
"ookoo_42","1","ookoo_42","Oocyst"
"ookoo_43","1","ookoo_43","Oocyst"
"ookoo_44","1","ookoo_44","Oocyst"
"ookoo_45","1","ookoo_45","Oocyst"
"ookoo_46","1","ookoo_46","Oocyst"
"ookoo_47","1","ookoo_47","Oocyst"
"ookoo_48","1","ookoo_48","Oocyst"
"ookoo_58","5","ookoo_58","Ookinete"
"ookoo_59","1","ookoo_59","Oocyst"
"ookoo_60","1","ookoo_60","Oocyst"
"ookoo_61","1","ookoo_61","Oocyst"
"ookoo_62","1","ookoo_62","Oocyst"
"ookoo_63","1","ookoo_63","Oocyst"
"ookoo_64","5","ookoo_64","Ookinete"
"ookoo_73","1","ookoo_73","Oocyst"
"ookoo_74","1","ookoo_74","Oocyst"
"ookoo_75","1","ookoo_75","Oocyst"
"ookoo_76","1","ookoo_76","Oocyst"
"ookoo_77","5","ookoo_77","Ookinete"
"ookoo_78","1","ookoo_78","Oocyst"
"ookoo_79","5","ookoo_79","Ookinete"
"ookoo_89","5","ookoo_89","Ookinete"
"ookoo_90","1","ookoo_90","Oocyst"
"ookoo_91","1","ookoo_91","Oocyst"
"ookoo_92","1","ookoo_92","Oocyst"
"ookoo_93","1","ookoo_93","Oocyst"
"ookoo_94","1","ookoo_94","Oocyst"
"ookoo_95","1","ookoo_95","Oocyst"
"ookoo_96","1","ookoo_96","Oocyst"
"ookoo_105","5","ookoo_105","Ookinete"
"ookoo_106","5","ookoo_106","Ookinete"
"ookoo_107","5","ookoo_107","Ookinete"
"ookoo_108","5","ookoo_108","Ookinete"
"ookoo_109","5","ookoo_109","Ookinete"
"ookoo_110","1","ookoo_110","Oocyst"
"ookoo_111","1","ookoo_111","Oocyst"
"ookoo_121","5","ookoo_121","Ookinete"
"ookoo_122","1","ookoo_122","Oocyst"
"ookoo_123","1","ookoo_123","Oocyst"
"ookoo_124","1","ookoo_124","Oocyst"
"ookoo_125","1","ookoo_125","Oocyst"
"ookoo_126","5","ookoo_126","Ookinete"
"ookoo_127","1","ookoo_127","Oocyst"
"ookoo_128","1","ookoo_128","Oocyst"
"ookoo_137","1","ookoo_137","Oocyst"
"ookoo_138","1","ookoo_138","Oocyst"
"ookoo_139","1","ookoo_139","Oocyst"
"ookoo_140","1","ookoo_140","Oocyst"
"ookoo_141","1","ookoo_141","Oocyst"
"ookoo_142","5","ookoo_142","Ookinete"
"ookoo_143","1","ookoo_143","Oocyst"
"ookoo_144","1","ookoo_144","Oocyst"
"ookoo_153","1","ookoo_153","Oocyst"
"ookoo_154","1","ookoo_154","Oocyst"
"ookoo_155","1","ookoo_155","Oocyst"
"ookoo_156","5","ookoo_156","Ookinete"
"ookoo_157","1","ookoo_157","Oocyst"
"ookoo_158","1","ookoo_158","Oocyst"
"ookoo_159","1","ookoo_159","Oocyst"
"ookoo_160","1","ookoo_160","Oocyst"
"ookoo_169","1","ookoo_169","Oocyst"
"ookoo_170","1","ookoo_170","Oocyst"
"ookoo_171","1","ookoo_171","Oocyst"
"ookoo_173","5","ookoo_173","Ookinete"
"ookoo_174","1","ookoo_174","Oocyst"
"ookoo_175","1","ookoo_175","Oocyst"
"ookoo_176","5","ookoo_176","Ookinete"
"ookoo_185","1","ookoo_185","Oocyst"
"ookoo_186","1","ookoo_186","Oocyst"
"ookoo_187","5","ookoo_187","Ookinete"
"ookoo_188","5","ookoo_188","Ookinete"
"ookoo_189","1","ookoo_189","Oocyst"
"ookoo_190","1","ookoo_190","Oocyst"
"ookoo_191","5","ookoo_191","Ookinete"
"ookoo_202","5","ookoo_202","Ookinete"
"ookoo_203","5","ookoo_203","Ookinete"
"ookoo_204","1","ookoo_204","Oocyst"
"ookoo_205","1","ookoo_205","Oocyst"
"ookoo_206","1","ookoo_206","Oocyst"
"ookoo_207","1","ookoo_207","Oocyst"
"ookoo_208","1","ookoo_208","Oocyst"
"ookoo_217","1","ookoo_217","Oocyst"
"ookoo_218","1","ookoo_218","Oocyst"
"ookoo_219","1","ookoo_219","Oocyst"
"ookoo_220","1","ookoo_220","Oocyst"
"ookoo_221","1","ookoo_221","Oocyst"
"ookoo_222","1","ookoo_222","Oocyst"
"ookoo_223","1","ookoo_223","Oocyst"
"ookoo_224","1","ookoo_224","Oocyst"
"ookoo_233","1","ookoo_233","Oocyst"
"ookoo_234","1","ookoo_234","Oocyst"
"ookoo_235","1","ookoo_235","Oocyst"
"ookoo_236","5","ookoo_236","Ookinete"
"ookoo_237","1","ookoo_237","Oocyst"
"ookoo_238","1","ookoo_238","Oocyst"
"ookoo_239","1","ookoo_239","Oocyst"
"ookoo_240","1","ookoo_240","Oocyst"
"ookoo_249","5","ookoo_249","Ookinete"
"ookoo_250","1","ookoo_250","Oocyst"
"ookoo_251","1","ookoo_251","Oocyst"
"ookoo_252","1","ookoo_252","Oocyst"
"ookoo_253","5","ookoo_253","Ookinete"
"ookoo_254","1","ookoo_254","Oocyst"
"ookoo_255","5","ookoo_255","Ookinete"
"ookoo_256","5","ookoo_256","Ookinete"
"ookoo_265","1","ookoo_265","Oocyst"
"ookoo_266","1","ookoo_266","Oocyst"
"ookoo_267","1","ookoo_267","Oocyst"
"ookoo_268","1","ookoo_268","Oocyst"
"ookoo_269","1","ookoo_269","Oocyst"
"ookoo_270","1","ookoo_270","Oocyst"
"ookoo_271","1","ookoo_271","Oocyst"
"ookoo_272","1","ookoo_272","Oocyst"
"ookoo_281","1","ookoo_281","Oocyst"
"ookoo_282","1","ookoo_282","Oocyst"
"ookoo_283","1","ookoo_283","Oocyst"
"ookoo_284","5","ookoo_284","Ookinete"
"ookoo_285","1","ookoo_285","Oocyst"
"ookoo_286","1","ookoo_286","Oocyst"
"ookoo_287","1","ookoo_287","Oocyst"
"ookoo_288","5","ookoo_288","Ookinete"
"ookoo_297","1","ookoo_297","Oocyst"
"ookoo_298","5","ookoo_298","Ookinete"
"ookoo_299","1","ookoo_299","Oocyst"
"ookoo_300","1","ookoo_300","Oocyst"
"ookoo_301","1","ookoo_301","Oocyst"
"ookoo_302","1","ookoo_302","Oocyst"
"ookoo_303","1","ookoo_303","Oocyst"
"ookoo_304","1","ookoo_304","Oocyst"
"ookoo_313","1","ookoo_313","Oocyst"
"ookoo_314","1","ookoo_314","Oocyst"
"ookoo_315","1","ookoo_315","Oocyst"
"ookoo_316","1","ookoo_316","Oocyst"
"ookoo_317","1","ookoo_317","Oocyst"
"ookoo_318","1","ookoo_318","Oocyst"
"ookoo_319","1","ookoo_319","Oocyst"
"ookoo_320","1","ookoo_320","Oocyst"
"ookoo_329","1","ookoo_329","Oocyst"
"ookoo_330","1","ookoo_330","Oocyst"
"ookoo_331","5","ookoo_331","Ookinete"
"ookoo_332","1","ookoo_332","Oocyst"
"ookoo_333","1","ookoo_333","Oocyst"
"ookoo_334","5","ookoo_334","Ookinete"
"ookoo_335","1","ookoo_335","Oocyst"
"ookoo_336","1","ookoo_336","Oocyst"
"ookoo_345","1","ookoo_345","Oocyst"
"ookoo_346","5","ookoo_346","Ookinete"
"ookoo_347","1","ookoo_347","Oocyst"
"ookoo_348","1","ookoo_348","Oocyst"
"ookoo_349","5","ookoo_349","Ookinete"
"ookoo_350","1","ookoo_350","Oocyst"
"ookoo_351","1","ookoo_351","Oocyst"
"ookoo_352","1","ookoo_352","Oocyst"
"ookoo_361","5","ookoo_361","Ookinete"
"ookoo_362","1","ookoo_362","Oocyst"
"ookoo_363","1","ookoo_363","Oocyst"
"ookoo_364","1","ookoo_364","Oocyst"
"ookoo_365","1","ookoo_365","Oocyst"
"ookoo_366","1","ookoo_366","Oocyst"
"ookoo_367","1","ookoo_367","Oocyst"
"ookoo_368","5","ookoo_368","Ookinete"
"ookoo_377","1","ookoo_377","Oocyst"
"ookoo_378","1","ookoo_378","Oocyst"
"ookoo_379","1","ookoo_379","Oocyst"
"ookoo_380","5","ookoo_380","Ookinete"
"ookoo_381","1","ookoo_381","Oocyst"
"ookoo_382","1","ookoo_382","Oocyst"
"ookoo_383","1","ookoo_383","Oocyst"
