"","pf.33","pf.34","pf.69","pf.83","pf.98","pf.177","pf.243","pf.260","pf.263","pf.264","pf.277","pf.280","pf.338","pf.340","pf.341","pf.353","pf.354","pf.356","pf.357","pf.370","pf.371","pf.373"
"PF3D7_0913900",2,0,1,36,0,11,0,0,49,52,0,0,0,44,0,0,2,46,0,30,86,0
"PF3D7_0914000",21,0,0,30,0,0,0,0,72,8,0,0,1,24,0,0,0,0,0,0,1,0
"PF3D7_0914100",32,368,0,122,0,2,281,431,145,46,1094,38,197,839,1708,852,170,235,415,60,145,115
"PF3D7_0914200",0,0,0,0,0,0,0,0,0,3,0,4,0,0,1126,0,0,0,0,0,0,0
"PF3D7_0914300",3,0,0,10,0,27,0,0,0,0,0,0,3,3,0,0,0,1,0,3,6,0
"PF3D7_0914400",63,0,0,143,0,22,0,64,83,81,0,0,300,154,0,0,130,70,0,86,0,0
"PF3D7_0914500",0,73,0,31,0,0,162,14,9,1,0,72,60,11,0,0,132,26,406,0,0,270
"PF3D7_0914600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PF3D7_0914700",46,50,0,35,0,0,0,0,0,66,0,0,13,134,402,60,10,87,0,0,44,0
"PF3D7_0914800",21,0,0,14,0,11,0,0,24,6,0,0,0,1,0,0,2,1,0,0,0,0
"PF3D7_0914900",0,0,0,0,0,3,0,0,13,2,0,0,2,0,0,0,0,0,2,18,0,0
"PF3D7_0915000",0,33,0,49,0,4,0,242,60,34,0,145,0,2,0,0,0,39,0,0,17,0
"PF3D7_0915100",45,0,0,0,0,29,0,5,0,5,0,26,0,409,0,0,0,9,0,32,1,0
"PF3D7_0915200",0,33,0,0,0,0,319,27,0,0,0,218,0,5,41,174,0,0,143,0,1,0
"PF3D7_0915300",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0915400",78,117,3,0,0,0,0,0,24,103,0,180,7,0,0,0,0,0,0,3,0,3
"PF3D7_0915500",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,164
"PF3D7_0915600",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"PF3D7_0915700",0,74,0,0,0,52,124,34,56,0,0,0,43,33,0,0,0,9,0,0,39,0
"PF3D7_0915800",64,0,0,288,0,155,0,0,137,251,0,0,632,1047,0,0,496,100,0,102,297,0
"PF3D7_0915900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"PF3D7_0916000",111,0,0,93,0,52,0,0,193,437,13,0,185,81,0,1,94,21,0,328,342,0
"PF3D7_0916100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0916200",0,0,0,0,0,36,112,0,52,36,0,0,0,0,0,0,0,0,14,0,4,0
"PF3D7_0916300",5,0,0,60,0,6,0,0,0,6,0,0,17,0,0,0,0,1,0,0,55,0
"PF3D7_0916400",1,1,0,30,0,1,37,0,50,0,1,13,6,75,0,4,0,10,301,0,10,0
"PF3D7_0916500",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"PF3D7_0916600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"PF3D7_0916700",0,0,0,0,0,0,0,0,0,1,0,0,0,405,0,0,0,0,0,51,0,0
"PF3D7_0916800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0916900",1,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,37,0,0,0,0,0
"PF3D7_0917000",13,115,0,2,0,34,0,315,14,0,0,2,1,5,2,1,12,0,136,8,81,0
"PF3D7_0917100",0,0,0,0,0,0,0,0,0,1,0,130,0,1,48,0,0,0,0,0,19,0
"PF3D7_0917200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PF3D7_0917300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
