"","pm.19","pm.51","pm.65","pm.67","pm.82","pm.103","pm.114","pm.115","pm.145","pm.146","pm.161","pm.162","pm.178"
"PmUG01_00022000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00022800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00023900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00024900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00025900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00026900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00027900",0,0,0,0,0,0,0,0,0,0,0,1,0
"PmUG01_00028000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00028100",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00028200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00028500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00028600",0,0,2,0,0,0,0,0,0,0,0,0,0
"PmUG01_00028800",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029200",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029300",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029400",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029500",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029600",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029700",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00029900",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030000",0,0,0,0,0,0,0,0,0,0,0,0,0
"PmUG01_00030200",0,0,0,0,0,0,0,0,0,0,0,0,0
